Original#	LABEL	Category	Who Else? Question
1	DOCTOR	BODY & HEALTH	Who else is a doctor near me?
2	DENTIST	BODY & HEALTH	Who else is a dentist near me?
3	NURSE	BODY & HEALTH	Who else is a nurse near me?
4	PHARMACY	BODY & HEALTH	Who else is a pharmacy near me?
5	HOSPITAL	BODY & HEALTH	Who else is a hospital near me?
6	SURGEON	BODY & HEALTH	Who else is a surgeon near me?
7	PHYSIOTHERAPIST	BODY & HEALTH	Who else is a physiotherapist near me?
8	CHIROPRACTOR	BODY & HEALTH	Who else is a chiropractor near me?
9	OPTICIAN	BODY & HEALTH	Who else is an optician near me?
10	AUDIOLOGIST	BODY & HEALTH	Who else is an audiologist near me?
11	DERMATOLOGIST	BODY & HEALTH	Who else is a dermatologist near me?
12	GYNAECOLOGIST	BODY & HEALTH	Who else is a gynaecologist near me?
13	PSYCHIATRIST	BODY & HEALTH	Who else is a psychiatrist near me?
14	PSYCHOLOGIST	BODY & HEALTH	Who else is a psychologist near me?
15	THERAPIST	BODY & HEALTH	Who else is a therapist near me?
16	COUNSELLOR	BODY & HEALTH	Who else is a counsellor near me?
17	NUTRITIONIST	BODY & HEALTH	Who else is a nutritionist near me?
18	DIETICIAN	BODY & HEALTH	Who else is a dietician near me?
19	BLOOD TEST	BODY & HEALTH	Who else is a blood test near me?
20	VACCINATION	BODY & HEALTH	Who else is a vaccination near me?
21	AMBULANCE	BODY & HEALTH	Who else is an ambulance within 5 km?
22	1ST AID	BODY & HEALTH	Who else is a first aid near me?
23	REHAB	BODY & HEALTH	Who else is a rehab near me?
24	ADDICTION	BODY & HEALTH	Who else is an addiction near me?
25	PALLIATIVE CARE	BODY & HEALTH	Who else is a palliative care near me?
26	HOSPICE	BODY & HEALTH	Who else is a hospice near me?
27	FERTILITY	BODY & HEALTH	Who else is a fertility near me?
28	MIDWIFE	BODY & HEALTH	Who else is a midwife near me?
29	CONTRACEPTION	BODY & HEALTH	Who else is a contraception near me?
30	STI TEST	BODY & HEALTH	Who else is a sti test near me?
31	HEARING AID	BODY & HEALTH	Who else is a hearing aid near me?
32	WHEELCHAIR	BODY & HEALTH	Who else is a wheelchair near me?
33	PROSTHETICS	BODY & HEALTH	Who else is a prosthetics near me?
34	HOME CARE	BODY & HEALTH	Who else is a home care near me?
35	ELDER CARE	BODY & HEALTH	Who else is an elder care near me?
36	DEMENTIA CARE	BODY & HEALTH	Who else is a dementia care near me?
37	GYM	FITNESS & SPORT	Who else is a gym near me?
38	PERSONAL TRAINER	FITNESS & SPORT	Who else is a personal trainer near me?
39	YOGA	FITNESS & SPORT	Who else is a yoga near me?
40	PILATES	FITNESS & SPORT	Who else is a pilates near me?
41	SWIMMING	FITNESS & SPORT	Who else is a swimming near me?
42	RUNNING	FITNESS & SPORT	Who else is a running near me?
43	CYCLING	FITNESS & SPORT	Who else is a cycling near me?
44	CLIMBING	FITNESS & SPORT	Who else is a climbing near me?
45	MARTIAL ARTS	FITNESS & SPORT	Who else is a martial arts near me?
46	DANCE	FITNESS & SPORT	Who else is a dance near me?
47	FOOTBALL	FITNESS & SPORT	Who else is a football near me?
48	TENNIS	FITNESS & SPORT	Who else is a tennis near me?
49	GOLF	FITNESS & SPORT	Who else is a golf near me?
50	SKIING	FITNESS & SPORT	Who else is a skiing near me?
51	SURFING	FITNESS & SPORT	Who else is a surfing near me?
52	BOXING	FITNESS & SPORT	Who else is a boxing near me?
53	CROSSFIT	FITNESS & SPORT	Who else is a crossfit near me?
54	SPORTS TEAM	FITNESS & SPORT	Who else is a sports team near me?
55	SPORTS COACH	FITNESS & SPORT	Who else is a sports coach near me?
56	SPORTS GEAR	FITNESS & SPORT	Who else is a sports gear near me?
57	STADIUM	FITNESS & SPORT	Who else is a stadium near me?
58	POOL	FITNESS & SPORT	Who else is a pool near me?
59	SAUNA	FITNESS & SPORT	Who else is a sauna near me?
60	RESTAURANT	FOOD & DRINK	Who else has a restaurant table Friday?
61	FAST FOOD	FOOD & DRINK	Who else has a fast food?
62	CAFE	FOOD & DRINK	Who else has a cafe?
63	BAKERY	FOOD & DRINK	Who else has a bakery?
64	GROCERY	FOOD & DRINK	Who else has a grocery?
65	BUTCHER	FOOD & DRINK	Who else has a butcher?
66	FISHMONGER	FOOD & DRINK	Who else has a fishmonger?
67	GREENGROCER	FOOD & DRINK	Who else has a greengrocer?
68	FOOD DELIVERY	FOOD & DRINK	Who else is a food delivery within 5 km?
69	MEAL KIT	FOOD & DRINK	Who else has a meal kit?
70	FOOD SHARING	FOOD & DRINK	Who else has a food sharing?
71	CATERING	FOOD & DRINK	Who else has a catering?
72	COOKING CLASS	FOOD & DRINK	Who else has a cooking class?
73	RECIPE	FOOD & DRINK	Who else has a recipe?
74	DIET PLAN	FOOD & DRINK	Who else has a diet plan?
75	VEGAN FOOD	FOOD & DRINK	Who else has a vegan food?
76	HALAL FOOD	FOOD & DRINK	Who else has a halal food?
77	KOSHER FOOD	FOOD & DRINK	Who else has a kosher food?
78	WINE	FOOD & DRINK	Who else has a wine?
79	BEER	FOOD & DRINK	Who else has a beer?
80	COCKTAIL	FOOD & DRINK	Who else has a cocktail?
81	WATER	FOOD & DRINK	Who else has a water?
82	COFFEE	FOOD & DRINK	Who else has a coffee?
83	TEA	FOOD & DRINK	Who else has a tea?
